,title,salary,jobtype,location,description
2759,Senior SEO Consultant,,100% Remote Job,US National,"
            Remote contract senior SEO consultant needed to ensure continued health and growth of our search rankings and traffic for two of our key brands. Bachelor's degree with 5-7 years of experience in an SEO role required. The position is temporary.
        "
2760,"Senior Manager, Strategic Growth Channels",,Partial Remote Job,"Rockville, MD, or US National","
            The sr. manager will lead staff &amp; oversee relationships with strategic growth channel partners. Must have five or more years' exp. with online marketing, eCommerce, &amp; user experience programs. People management exp. required. Remote-based position.
        "
2761,Senior Enterprise Architect,,Partial Remote Job,"Madison, WI","
            Remote senior enterprise architect will understand customer's business strategy, goals, and objectives to internalize their business capabilities to meet those objectives. Bachelor's degree, 12 years of exp, &amp; 2 years of enterprise architectural exp req. 
        "
2762,Senior Enterprise Architect,,Partial Remote Job,"Milwaukee, WI","
            Full-time, partially remote position. Will collaborate with team, provide insight, articulate considerations, drive solutions and make recommendations. Bachelor's degree and 12+ years' related experience required. 
        "
2763,Senior Enterprise Architect,,Partial Remote Job,"Cleveland, OH","
            The sr. enterprise architect will act as a trusted advisor to customers &amp; work with teams on solutions &amp; enterprise architecture strategies. Must have at least 12 years' exp., including two or more years with enterprise architecture. Remote-based role.

        "
2764,Senior Enterprise Architect,,Partial Remote Job,"Columbus, OH","
            F/T remote senior enterprise architect needed to understand customer strategy and requirements and help define the solution portfolio and enterprise architecture strategy. Bachelor's degree, 12 yrs of exp, &amp; 2 yrs of enterprise/architectural exp required.
        "
2765,Senior Enterprise Architect,,Partial Remote Job,"Bethesda, MD","
            Full-time job, some remote work. Needs a bachelor's degree and 12 years' work related experience. Work closely with regionally aligned account team, understand requirements to help define the solution portfolio, and will work closely with pre-sales team.
        "
2766,Senior Enterprise Architect,,Partial Remote Job,"Boston, MA","
            The sr. enterprise architect identifies customers' goals, helps define solutions, &amp; leads digital transformation engagements. This is a remote-based position requiring 12 or more years' experience with at least two years' enterprise architectural exp.
        "
2767,Senior Enterprise Architect,,Partial Remote Job,"Topeka, KS","
            F/T remote senior enterprise architect will understand customer business strategies, goals, &amp; objectives then internalize their business capabilities to meet those objectives. Bachelor's degree, 12 yrs of exp, &amp; 2 yrs of enterprise/architectural exp req.
        "
2768,Senior Enterprise Architect,,Partial Remote Job,"Indianapolis, IN","
            Full-time position. Partially remote. Will present requirements, make recommendations, interface with staff, drive solutions and provide insight. Bachelor's degree and 12+ years' related experience required. 
        "
