,company,description,location,salary,title
1953,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
1954,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
1955,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
1956,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
1957,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
1958,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
1959,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
1960,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
1961,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
1962,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
1963,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
1964,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
1965,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
1966,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
1967,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
1968,HP,Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,"Alpharetta, GA",,Global Head Search and Marketing Returns Analytics
1969,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
1970,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
1971,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
1972,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
1973,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
1974,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
1975,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
1976,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
1977,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
1978,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
1979,HP,Minimum 5+ years experience in digital media analytics and data science role. A successful candidate will lead and develop the data scientists and analysts to…,"Alpharetta, GA",,Global Head Search and Marketing Returns Analytics
1980,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
1981,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
1982,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
1983,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
1984,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
